,County,Type,Grade Level,Students
0,Barbour,Promotion,Kindergarten,189
1,Barbour,Retention,Kindergarten,2
2,Barbour,Promotion,First Grade,194
3,Barbour,Retention,First Grade,0
4,Barbour,Promotion,Second Grade,183
5,Barbour,Retention,Second Grade,2
6,Barbour,Promotion,Third Grade,181
7,Barbour,Retention,Third Grade,0
8,Barbour,Promotion,Fourth Grade,174
9,Barbour,Retention,Fourth Grade,0
10,Barbour,Promotion,Fifth Grade,157
11,Barbour,Retention,Fifth Grade,0
12,Barbour,Promotion,Sixth Grade,187
13,Barbour,Retention,Sixth Grade,1
14,Barbour,Promotion,Seventh Grade,167
15,Barbour,Retention,Seventh Grade,0
16,Barbour,Promotion,Eighth Grade,166
17,Barbour,Retention,Eighth Grade,1
18,Barbour,Promotion,Ninth Grade,185
19,Barbour,Retention,Ninth Grade,0
20,Barbour,Promotion,Tenth Grade,174
21,Barbour,Retention,Tenth Grade,0
22,Barbour,Promotion,Eleventh Grade,154
23,Barbour,Retention,Eleventh Grade,0
24,Barbour,Promotion,Twelfth Grade,161
25,Barbour,Retention,Twelfth Grade,12
26,Berkeley,Promotion,Kindergarten,1347
27,Berkeley,Retention,Kindergarten,52
28,Berkeley,Promotion,First Grade,1430
29,Berkeley,Retention,First Grade,37
30,Berkeley,Promotion,Second Grade,1377
31,Berkeley,Retention,Second Grade,10
32,Berkeley,Promotion,Third Grade,1360
33,Berkeley,Retention,Third Grade,3
34,Berkeley,Promotion,Fourth Grade,1377
35,Berkeley,Retention,Fourth Grade,15
36,Berkeley,Promotion,Fifth Grade,1341
37,Berkeley,Retention,Fifth Grade,2
38,Berkeley,Promotion,Sixth Grade,1399
39,Berkeley,Retention,Sixth Grade,8
40,Berkeley,Promotion,Seventh Grade,1377
41,Berkeley,Retention,Seventh Grade,17
42,Berkeley,Promotion,Eighth Grade,1343
43,Berkeley,Retention,Eighth Grade,15
44,Berkeley,Promotion,Ninth Grade,1426
45,Berkeley,Retention,Ninth Grade,0
46,Berkeley,Promotion,Tenth Grade,1280
47,Berkeley,Retention,Tenth Grade,0
48,Berkeley,Promotion,Eleventh Grade,1022
49,Berkeley,Retention,Eleventh Grade,1
50,Berkeley,Promotion,Twelfth Grade,1039
51,Berkeley,Retention,Twelfth Grade,49
52,Boone,Promotion,Kindergarten,309
53,Boone,Retention,Kindergarten,30
54,Boone,Promotion,First Grade,339
55,Boone,Retention,First Grade,8
56,Boone,Promotion,Second Grade,299
57,Boone,Retention,Second Grade,2
58,Boone,Promotion,Third Grade,326
59,Boone,Retention,Third Grade,2
60,Boone,Promotion,Fourth Grade,331
61,Boone,Retention,Fourth Grade,3
62,Boone,Promotion,Fifth Grade,349
63,Boone,Retention,Fifth Grade,3
64,Boone,Promotion,Sixth Grade,314
65,Boone,Retention,Sixth Grade,0
66,Boone,Promotion,Seventh Grade,353
67,Boone,Retention,Seventh Grade,0
68,Boone,Promotion,Eighth Grade,332
69,Boone,Retention,Eighth Grade,0
70,Boone,Promotion,Ninth Grade,325
71,Boone,Retention,Ninth Grade,16
72,Boone,Promotion,Tenth Grade,302
73,Boone,Retention,Tenth Grade,11
74,Boone,Promotion,Eleventh Grade,279
75,Boone,Retention,Eleventh Grade,0
76,Boone,Promotion,Twelfth Grade,259
77,Boone,Retention,Twelfth Grade,0
78,Braxton,Promotion,Kindergarten,168
79,Braxton,Retention,Kindergarten,10
80,Braxton,Promotion,First Grade,157
81,Braxton,Retention,First Grade,3
82,Braxton,Promotion,Second Grade,155
83,Braxton,Retention,Second Grade,4
84,Braxton,Promotion,Third Grade,150
85,Braxton,Retention,Third Grade,2
86,Braxton,Promotion,Fourth Grade,149
87,Braxton,Retention,Fourth Grade,2
88,Braxton,Promotion,Fifth Grade,151
89,Braxton,Retention,Fifth Grade,1
90,Braxton,Promotion,Sixth Grade,171
91,Braxton,Retention,Sixth Grade,0
92,Braxton,Promotion,Seventh Grade,132
93,Braxton,Retention,Seventh Grade,0
94,Braxton,Promotion,Eighth Grade,152
95,Braxton,Retention,Eighth Grade,0
96,Braxton,Promotion,Ninth Grade,168
97,Braxton,Retention,Ninth Grade,5
98,Braxton,Promotion,Tenth Grade,156
99,Braxton,Retention,Tenth Grade,3
100,Braxton,Promotion,Eleventh Grade,126
101,Braxton,Retention,Eleventh Grade,4
102,Braxton,Promotion,Twelfth Grade,121
103,Braxton,Retention,Twelfth Grade,9
104,Brooke,Promotion,Kindergarten,226
