,County,variable,value
0,Barbour,HQT Taught Classes,607
1,Berkeley,HQT Taught Classes,3476
2,Boone,HQT Taught Classes,872
3,Braxton,HQT Taught Classes,439
4,Brooke,HQT Taught Classes,713
5,Cabell,HQT Taught Classes,3348
6,Calhoun,HQT Taught Classes,275
7,Clay,HQT Taught Classes,542
8,Doddridge,HQT Taught Classes,288
9,Fayette,HQT Taught Classes,1884
10,Gilmer,HQT Taught Classes,247
11,Grant,HQT Taught Classes,486
12,Greenbrier,HQT Taught Classes,1431
13,Hampshire,HQT Taught Classes,880
14,Hancock,HQT Taught Classes,1057
15,Hardy,HQT Taught Classes,543
16,Harrison,HQT Taught Classes,2139
17,Jackson,HQT Taught Classes,1109
18,Jefferson,HQT Taught Classes,2200
19,Kanawha,HQT Taught Classes,6417
20,Lewis,HQT Taught Classes,636
21,Lincoln,HQT Taught Classes,733
22,Logan,HQT Taught Classes,1555
23,Marion,HQT Taught Classes,2140
24,Marshall,HQT Taught Classes,1278
25,Mason,HQT Taught Classes,990
26,Mercer,HQT Taught Classes,2083
27,Mineral,HQT Taught Classes,928
28,Mingo,HQT Taught Classes,1243
29,Monongalia,HQT Taught Classes,2518
30,Monroe,HQT Taught Classes,267
31,Morgan,HQT Taught Classes,526
32,Mcdowell,HQT Taught Classes,811
33,Nicholas,HQT Taught Classes,734
34,Ohio,HQT Taught Classes,1481
35,Pendleton,HQT Taught Classes,316
36,Pleasants,HQT Taught Classes,354
37,Pocahontas,HQT Taught Classes,343
38,Preston,HQT Taught Classes,954
39,Putnam,HQT Taught Classes,2126
40,Raleigh,HQT Taught Classes,3863
41,Randolph,HQT Taught Classes,1243
42,Ritchie,HQT Taught Classes,360
43,Roane,HQT Taught Classes,480
44,Summers,HQT Taught Classes,371
45,Taylor,HQT Taught Classes,477
46,Tucker,HQT Taught Classes,319
47,Tyler,HQT Taught Classes,388
48,Upshur,HQT Taught Classes,914
49,Wayne,HQT Taught Classes,1478
50,Webster,HQT Taught Classes,468
51,Wetzel,HQT Taught Classes,776
52,Wirt,HQT Taught Classes,263
53,Wood,HQT Taught Classes,3444
54,Wyoming,HQT Taught Classes,727
55,Barbour,Total Courses,664
56,Berkeley,Total Courses,4022
57,Boone,Total Courses,975
58,Braxton,Total Courses,515
59,Brooke,Total Courses,825
60,Cabell,Total Courses,3542
61,Calhoun,Total Courses,329
62,Clay,Total Courses,597
63,Doddridge,Total Courses,298
64,Fayette,Total Courses,2106
65,Gilmer,Total Courses,257
66,Grant,Total Courses,515
67,Greenbrier,Total Courses,1497
68,Hampshire,Total Courses,995
69,Hancock,Total Courses,1097
70,Hardy,Total Courses,579
71,Harrison,Total Courses,2206
72,Jackson,Total Courses,1254
73,Jefferson,Total Courses,2438
74,Kanawha,Total Courses,7597
75,Lewis,Total Courses,733
76,Lincoln,Total Courses,888
77,Logan,Total Courses,1819
78,Marion,Total Courses,2174
79,Marshall,Total Courses,1355
80,Mason,Total Courses,1092
81,Mercer,Total Courses,2496
82,Mineral,Total Courses,966
83,Mingo,Total Courses,1415
84,Monongalia,Total Courses,2586
85,Monroe,Total Courses,304
86,Morgan,Total Courses,636
87,Mcdowell,Total Courses,1102
88,Nicholas,Total Courses,776
89,Ohio,Total Courses,1514
90,Pendleton,Total Courses,331
91,Pleasants,Total Courses,382
92,Pocahontas,Total Courses,387
93,Preston,Total Courses,1026
94,Putnam,Total Courses,2235
95,Raleigh,Total Courses,4245
96,Randolph,Total Courses,1310
97,Ritchie,Total Courses,382
98,Roane,Total Courses,558
99,Summers,Total Courses,442
100,Taylor,Total Courses,495
101,Tucker,Total Courses,335
102,Tyler,Total Courses,424
103,Upshur,Total Courses,958
104,Wayne,Total Courses,1704
105,Webster,Total Courses,592
106,Wetzel,Total Courses,878
107,Wirt,Total Courses,304
108,Wood,Total Courses,3569
109,Wyoming,Total Courses,980
