County Number,County Name,All,White,Black,Hispanic,Asian,Indian,Multi-Racial,Pacific Islander,Male,Female,ELL,Low SES,Spec Ed
002,Barbour                                           ,92.03%,92.11%,89.96%,91.33%,90.80%,91.42%,89.80%,95.83%,92.05%,91.99%,@FORMATERROR,@FORMATERROR,91.82%
004,Berkeley                                          ,93.35%,93.31%,93.85%,92.93%,95.70%,91.67%,93.35%,94.86%,93.51%,93.19%,@FORMATERROR,92.24%,93.06%
006,Boone                                             ,90.16%,90.16%,89.06%,88.94%,93.95%,@FORMATERROR,88.95%,@FORMATERROR,90.23%,90.08%,@FORMATERROR,@FORMATERROR,90.30%
008,Braxton                                           ,92.22%,92.21%,94.15%,89.46%,98.67%,@FORMATERROR,93.42%,@FORMATERROR,92.41%,92.02%,@FORMATERROR,@FORMATERROR,91.74%
010,Brooke                                            ,93.01%,93.08%,90.16%,93.26%,97.90%,94.72%,91.17%,86.11%,92.87%,93.17%,@FORMATERROR,@FORMATERROR,92.74%
012,Cabell                                            ,92.58%,92.60%,91.93%,92.82%,95.43%,92.83%,92.39%,94.15%,92.75%,92.38%,@FORMATERROR,@FORMATERROR,92.77%
014,Calhoun                                           ,92.85%,92.90%,89.39%,90.03%,@FORMATERROR,@FORMATERROR,91.55%,@FORMATERROR,92.97%,92.73%,@FORMATERROR,@FORMATERROR,92.18%
016,Clay                                              ,93.21%,93.18%,97.79%,95.99%,94.51%,97.73%,95.77%,@FORMATERROR,93.68%,92.70%,@FORMATERROR,@FORMATERROR,92.57%
018,Doddridge                                         ,92.84%,92.78%,95.78%,97.34%,97.87%,94.31%,92.56%,88.47%,93.03%,92.62%,@FORMATERROR,@FORMATERROR,92.59%
020,Fayette                                           ,92.88%,92.82%,93.48%,94.93%,95.70%,93.76%,93.14%,95.83%,93.00%,92.76%,@FORMATERROR,100.00%,92.43%
022,Gilmer                                            ,94.14%,94.09%,95.42%,95.54%,99.72%,@FORMATERROR,94.90%,@FORMATERROR,94.15%,94.13%,@FORMATERROR,93.56%,93.51%
024,Grant                                             ,94.01%,94.02%,92.16%,95.73%,94.48%,94.72%,90.89%,@FORMATERROR,94.02%,94.01%,@FORMATERROR,92.17%,92.53%
026,Greenbrier                                        ,91.57%,91.53%,91.76%,91.75%,95.06%,91.53%,91.99%,95.82%,91.74%,91.41%,@FORMATERROR,89.54%,91.10%
028,Hampshire                                         ,93.11%,93.11%,92.32%,92.59%,100.00%,46.51%,93.88%,88.61%,93.23%,92.97%,@FORMATERROR,92.33%,92.30%
029,Hancock                                           ,93.65%,93.67%,93.71%,93.40%,96.69%,96.15%,92.66%,87.92%,93.74%,93.55%,@FORMATERROR,92.57%,93.29%
031,Hardy                                             ,93.66%,93.53%,95.33%,94.20%,96.56%,95.28%,93.87%,@FORMATERROR,94.00%,93.25%,@FORMATERROR,91.33%,92.94%
033,Harrison                                          ,93.51%,93.51%,92.98%,93.82%,96.36%,91.11%,92.83%,97.64%,93.57%,93.44%,@FORMATERROR,90.76%,92.37%
035,Jackson                                           ,92.98%,92.99%,89.40%,92.83%,96.64%,95.39%,93.51%,98.33%,93.12%,92.84%,@FORMATERROR,89.69%,92.64%
037,Jefferson                                         ,94.56%,94.50%,94.94%,95.03%,96.86%,95.99%,93.76%,93.86%,94.78%,94.33%,@FORMATERROR,93.34%,94.02%
039,Kanawha                                           ,93.89%,93.99%,93.14%,93.13%,96.35%,94.68%,93.04%,96.76%,93.92%,93.85%,@FORMATERROR,92.68%,93.15%
041,Lewis                                             ,92.77%,92.77%,87.59%,94.48%,96.90%,93.04%,93.03%,@FORMATERROR,92.90%,92.64%,@FORMATERROR,91.79%,91.69%
043,Lincoln                                           ,90.18%,90.15%,92.56%,91.28%,96.53%,@FORMATERROR,92.86%,@FORMATERROR,90.59%,89.74%,@FORMATERROR,@FORMATERROR,89.99%
045,Logan                                             ,90.23%,90.19%,90.47%,91.65%,95.59%,@FORMATERROR,92.20%,@FORMATERROR,90.58%,89.86%,@FORMATERROR,@FORMATERROR,89.91%
047,Marion                                            ,94.64%,94.63%,94.78%,94.25%,97.76%,91.11%,94.02%,98.08%,94.70%,94.58%,@FORMATERROR,93.24%,93.97%
048,Marshall                                          ,93.20%,93.23%,90.96%,91.36%,95.61%,97.78%,92.49%,95.70%,93.18%,93.22%,@FORMATERROR,@FORMATERROR,92.70%
049,Mason                                             ,92.80%,92.77%,92.31%,94.56%,95.32%,95.33%,94.15%,@FORMATERROR,92.84%,92.76%,@FORMATERROR,100.00%,92.10%
051,Mercer                                            ,92.84%,92.67%,94.08%,91.87%,96.18%,93.62%,93.39%,92.55%,92.99%,92.67%,@FORMATERROR,@FORMATERROR,92.21%
053,Mineral                                           ,94.05%,94.08%,93.96%,92.81%,96.24%,95.83%,91.27%,98.89%,94.29%,93.78%,@FORMATERROR,92.16%,93.23%
054,Mingo                                             ,91.45%,91.41%,91.70%,89.76%,97.92%,@FORMATERROR,93.90%,93.89%,91.67%,91.21%,@FORMATERROR,@FORMATERROR,92.19%
056,Monongalia                                        ,94.92%,94.86%,95.08%,95.19%,96.93%,96.66%,94.27%,96.74%,94.92%,94.91%,@FORMATERROR,93.03%,92.82%
057,Monroe                                            ,92.43%,92.45%,92.21%,93.43%,94.82%,94.93%,90.04%,@FORMATERROR,93.05%,91.78%,@FORMATERROR,91.28%,91.83%
058,Morgan                                            ,95.42%,95.43%,94.93%,96.53%,98.76%,94.44%,93.72%,@FORMATERROR,95.65%,95.17%,@FORMATERROR,@FORMATERROR,94.95%
060,McDowell                                          ,90.00%,89.70%,92.25%,90.61%,95.28%,@FORMATERROR,92.78%,@FORMATERROR,89.80%,90.23%,@FORMATERROR,@FORMATERROR,89.19%
062,Nicholas                                          ,93.22%,93.21%,91.02%,94.02%,94.20%,96.94%,95.23%,100.00%,93.26%,93.17%,@FORMATERROR,@FORMATERROR,92.30%
064,Ohio                                              ,94.33%,94.42%,93.29%,94.23%,95.73%,92.44%,94.08%,91.49%,94.57%,94.07%,@FORMATERROR,@FORMATERROR,93.87%
066,Pendleton                                         ,94.58%,94.59%,95.19%,93.76%,89.63%,93.96%,95.70%,80.56%,94.67%,94.48%,@FORMATERROR,93.75%,94.44%
067,Pleasants                                         ,93.20%,93.16%,98.29%,93.63%,96.68%,@FORMATERROR,93.17%,@FORMATERROR,93.61%,92.75%,@FORMATERROR,92.02%,93.22%
069,Pocahontas                                        ,92.87%,92.88%,86.65%,94.78%,97.63%,@FORMATERROR,88.73%,@FORMATERROR,92.94%,92.80%,@FORMATERROR,@FORMATERROR,92.39%
070,Preston                                           ,92.76%,92.78%,93.50%,89.31%,98.89%,76.28%,93.78%,@FORMATERROR,93.03%,92.47%,@FORMATERROR,89.75%,91.91%
072,Putnam                                            ,94.18%,94.17%,94.23%,92.79%,96.68%,95.33%,94.37%,92.14%,94.22%,94.14%,@FORMATERROR,92.73%,93.09%
074,Raleigh                                           ,92.45%,92.39%,92.65%,91.06%,96.89%,89.35%,93.03%,95.66%,92.62%,92.27%,@FORMATERROR,89.96%,92.18%
075,Randolph                                          ,94.77%,94.79%,91.63%,95.38%,97.65%,98.61%,94.53%,92.94%,94.78%,94.75%,@FORMATERROR,@FORMATERROR,94.79%
077,Ritchie                                           ,92.79%,92.81%,95.86%,86.84%,92.47%,@FORMATERROR,95.83%,@FORMATERROR,92.87%,92.72%,@FORMATERROR,90.92%,91.48%
079,Roane                                             ,92.62%,92.65%,90.73%,92.65%,94.65%,93.89%,89.08%,@FORMATERROR,92.73%,92.49%,@FORMATERROR,90.51%,92.12%
081,Summers                                           ,92.23%,92.19%,91.59%,94.95%,87.17%,@FORMATERROR,93.09%,@FORMATERROR,92.60%,91.83%,@FORMATERROR,@FORMATERROR,91.49%
083,Taylor                                            ,93.43%,93.43%,93.08%,91.45%,99.45%,@FORMATERROR,92.39%,@FORMATERROR,93.63%,93.19%,@FORMATERROR,91.75%,92.70%
084,Tucker                                            ,92.66%,92.63%,92.28%,94.43%,95.72%,93.61%,94.04%,@FORMATERROR,92.87%,92.43%,@FORMATERROR,91.83%,90.65%
085,Tyler                                             ,93.17%,93.14%,97.78%,96.11%,98.89%,93.89%,94.51%,94.87%,93.25%,93.09%,@FORMATERROR,90.55%,91.85%
087,Upshur                                            ,93.20%,93.25%,92.66%,91.22%,96.98%,98.06%,91.68%,@FORMATERROR,93.40%,93.00%,@FORMATERROR,@FORMATERROR,93.05%
089,Wayne                                             ,91.91%,91.90%,91.57%,92.86%,94.26%,100.00%,92.36%,@FORMATERROR,91.79%,92.05%,@FORMATERROR,@FORMATERROR,91.60%
091,Webster                                           ,94.06%,94.05%,93.16%,95.92%,@FORMATERROR,@FORMATERROR,96.48%,@FORMATERROR,93.91%,94.24%,@FORMATERROR,@FORMATERROR,93.57%
092,Wetzel                                            ,93.22%,93.23%,93.32%,92.14%,92.23%,91.57%,93.86%,@FORMATERROR,93.12%,93.32%,@FORMATERROR,@FORMATERROR,91.99%
094,Wirt                                              ,92.10%,92.04%,97.59%,93.27%,96.11%,@FORMATERROR,94.47%,@FORMATERROR,92.16%,92.04%,@FORMATERROR,@FORMATERROR,92.02%
096,Wood                                              ,93.19%,93.21%,92.10%,92.44%,95.97%,86.26%,93.08%,93.59%,93.30%,93.08%,@FORMATERROR,91.13%,92.36%
098,Wyoming                                           ,90.49%,90.49%,90.22%,96.90%,80.73%,94.80%,90.69%,@FORMATERROR,90.71%,90.26%,@FORMATERROR,@FORMATERROR,89.64%
999,State Total                                       ,93.13%,93.09%,93.30%,93.42%,96.29%,92.98%,93.20%,94.88%,93.24%,93.00%,@FORMATERROR,91.98%,92.47%
