County Number,County Name,All,White,Black,Hispanic,Asian,Indian,Multi-Racial,Pacific Islander,Male,Female,ELL,Low SES,Spec Ed
002,Barbour                                           ,1.34%,1.31%,8.33%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,1.36%,1.31%,@FORMATERROR,1.34%,1.63%
004,Berkeley                                          ,0.27%,0.25%,0.36%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.33%,0.20%,0.00%,0.44%,0.22%
006,Boone                                             ,2.10%,2.13%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,2.76%,1.35%,0.00%,2.10%,4.43%
008,Braxton                                           ,1.38%,1.42%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.94%,0.74%,0.00%,1.38%,2.56%
010,Brooke                                            ,0.87%,0.83%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,1.15%,0.59%,@FORMATERROR,0.87%,0.41%
012,Cabell                                            ,2.03%,1.97%,2.72%,2.33%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,2.27%,1.76%,0.00%,2.03%,2.32%
014,Calhoun                                           ,0.46%,0.47%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.00%,0.91%,0.00%,0.46%,0.00%
016,Clay                                              ,0.24%,0.25%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.24%,0.25%,@FORMATERROR,0.24%,0.00%
018,Doddridge                                         ,0.60%,0.62%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.38%,0.82%,0.00%,0.60%,2.90%
020,Fayette                                           ,2.27%,2.37%,1.49%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,3.15%,1.32%,0.00%,2.27%,2.03%
022,Gilmer                                            ,0.79%,0.81%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.01%,0.55%,0.00%,0.42%,0.00%
024,Grant                                             ,0.53%,0.54%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.74%,0.28%,0.00%,0.63%,1.47%
026,Greenbrier                                        ,0.44%,0.48%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.54%,0.35%,0.00%,0.48%,0.25%
028,Hampshire                                         ,2.23%,2.16%,8.33%,0.00%,@FORMATERROR,100.00%,@FORMATERROR,@FORMATERROR,2.70%,1.71%,0.00%,1.81%,3.34%
029,Hancock                                           ,0.89%,0.95%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,1.15%,0.59%,0.00%,1.17%,0.85%
031,Hardy                                             ,0.50%,0.44%,0.00%,3.85%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.37%,0.66%,0.00%,0.62%,0.65%
033,Harrison                                          ,0.65%,0.66%,0.87%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.84%,0.44%,0.00%,0.74%,0.88%
035,Jackson                                           ,0.39%,0.35%,0.00%,0.00%,20.00%,0.00%,@FORMATERROR,@FORMATERROR,0.56%,0.20%,0.00%,0.41%,0.58%
037,Jefferson                                         ,0.77%,0.68%,0.99%,1.59%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,1.07%,0.45%,0.00%,1.45%,0.82%
039,Kanawha                                           ,2.09%,2.03%,2.76%,0.00%,0.56%,0.00%,@FORMATERROR,@FORMATERROR,2.23%,1.95%,0.00%,2.42%,0.91%
041,Lewis                                             ,0.00%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.00%,0.00%,0.00%,0.00%,0.00%
043,Lincoln                                           ,0.86%,0.87%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.23%,0.45%,0.00%,0.86%,0.64%
045,Logan                                             ,0.37%,0.39%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.15%,0.60%,0.00%,0.37%,0.00%
047,Marion                                            ,0.46%,0.48%,0.46%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.61%,0.30%,0.00%,0.57%,0.23%
048,Marshall                                          ,0.66%,0.68%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.99%,0.32%,0.00%,0.66%,0.00%
049,Mason                                             ,0.45%,0.40%,4.55%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.43%,0.47%,0.00%,0.39%,0.00%
051,Mercer                                            ,1.00%,1.06%,0.26%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.81%,1.20%,0.00%,1.00%,0.99%
053,Mineral                                           ,0.16%,0.17%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.21%,0.11%,0.00%,0.09%,0.00%
