,County,variable,value
0,Barbour,Regular Miles,347227
1,Berkeley,Regular Miles,2394406
2,Boone,Regular Miles,697774
3,Braxton,Regular Miles,284505
4,Brooke,Regular Miles,467034
5,Cabell,Regular Miles,1264482
6,Calhoun,Regular Miles,250135
7,Clay,Regular Miles,515851
8,Doddridge,Regular Miles,250761
9,Fayette,Regular Miles,1221525
10,Gilmer,Regular Miles,177670
11,Grant,Regular Miles,192009
12,Greenbrier,Regular Miles,759062
13,Hampshire,Regular Miles,502276
14,Hancock,Regular Miles,563122
15,Hardy,Regular Miles,317461
16,Harrison,Regular Miles,907538
17,Jackson,Regular Miles,654657
18,Jefferson,Regular Miles,1293595
19,Kanawha,Regular Miles,2604769
20,Lewis,Regular Miles,411464
21,Lincoln,Regular Miles,697095
22,Logan,Regular Miles,845424
23,Marion,Regular Miles,843506
24,Marshall,Regular Miles,655705
25,Mason,Regular Miles,576997
26,Mercer,Regular Miles,1150577
27,Mineral,Regular Miles,668612
28,Mingo,Regular Miles,978301
29,Monongalia,Regular Miles,1691273
30,Monroe,Regular Miles,265629
31,Morgan,Regular Miles,386841
32,Mcdowell,Regular Miles,744171
33,Nicholas,Regular Miles,514281
34,Ohio,Regular Miles,732639
35,Pendleton,Regular Miles,285798
36,Pleasants,Regular Miles,177762
37,Pocahontas,Regular Miles,252540
38,Preston,Regular Miles,914409
39,Putnam,Regular Miles,973290
40,Raleigh,Regular Miles,1837293
41,Randolph,Regular Miles,507913
42,Ritchie,Regular Miles,248357
43,Roane,Regular Miles,459800
44,Summers,Regular Miles,261526
45,Taylor,Regular Miles,345426
46,Tucker,Regular Miles,182841
47,Tyler,Regular Miles,258939
48,Upshur,Regular Miles,470817
49,Wayne,Regular Miles,1506748
50,Webster,Regular Miles,249468
51,Wetzel,Regular Miles,366099
52,Wirt,Regular Miles,143067
53,Wood,Regular Miles,1256526
54,Wyoming,Regular Miles,693727
55,School For Deaf And Blind,Regular Miles,0
56,Barbour,Vocational Miles,10246
57,Berkeley,Vocational Miles,42507
58,Boone,Vocational Miles,32587
59,Braxton,Vocational Miles,0
60,Brooke,Vocational Miles,0
61,Cabell,Vocational Miles,19963
62,Calhoun,Vocational Miles,20543
63,Clay,Vocational Miles,0
64,Doddridge,Vocational Miles,16636
65,Fayette,Vocational Miles,119258
66,Gilmer,Vocational Miles,10722
67,Grant,Vocational Miles,9867
68,Greenbrier,Vocational Miles,0
69,Hampshire,Vocational Miles,0
70,Hancock,Vocational Miles,23857
71,Hardy,Vocational Miles,15194
72,Harrison,Vocational Miles,38942
73,Jackson,Vocational Miles,33822
74,Jefferson,Vocational Miles,27389
75,Kanawha,Vocational Miles,0
76,Lewis,Vocational Miles,28103
77,Lincoln,Vocational Miles,0
78,Logan,Vocational Miles,31661
79,Marion,Vocational Miles,32903
80,Marshall,Vocational Miles,0
81,Mason,Vocational Miles,8253
82,Mercer,Vocational Miles,41723
83,Mineral,Vocational Miles,45255
84,Mingo,Vocational Miles,16887
85,Monongalia,Vocational Miles,30090
86,Monroe,Vocational Miles,0
87,Morgan,Vocational Miles,50399
88,Mcdowell,Vocational Miles,37623
89,Nicholas,Vocational Miles,24958
90,Ohio,Vocational Miles,0
91,Pendleton,Vocational Miles,16341
92,Pleasants,Vocational Miles,6640
93,Pocahontas,Vocational Miles,772
94,Preston,Vocational Miles,0
95,Putnam,Vocational Miles,46078
96,Raleigh,Vocational Miles,45865
97,Randolph,Vocational Miles,19598
98,Ritchie,Vocational Miles,10850
99,Roane,Vocational Miles,23645
100,Summers,Vocational Miles,0
101,Taylor,Vocational Miles,12773
102,Tucker,Vocational Miles,0
103,Tyler,Vocational Miles,13191
104,Upshur,Vocational Miles,11402
105,Wayne,Vocational Miles,428
106,Webster,Vocational Miles,8659
107,Wetzel,Vocational Miles,47697
